1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,3_r1_smiles,3_reaction,4_r1_smiles,4_r2_smiles,4_reaction,compound_set,date,error_message,error_type,hit1,hit2,inchi_key,input_num,num_placed,num_successful,route_uuid,smiles,template,time,to_hippo,total_num_products_enumstereo,total_num_unique_products,hit1_short,hit2_short,placed,datetime,num_steps
,,,,,,,,,,,cx0969d-cx1260a,2024-09-04,No routes found for C1CNC2=C(C1)C1=C(CC2)OCC1.,NoSynthesisRoute,CHIKV_MacB-x1260_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0969_C_501_CHIKV_MacB-x0300+A+401+1,BPORPDJTOBNPCL-UHFFFAOYSA-N,346.0,,,,C1CNC2=C(C1)C1=C(CC2)OCC1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1039.0,,,,cx1260a,cx0969d,False,2024-09-04 10:39:00,0.0
O=Cc1nn(CC(=O)O)c2ccccc12,CNC,Amidation,Nc1ccc(O)cc1,CN(C)C(=O)Cn1nc(C=O)c2ccccc21,Reductive_amination,,,,,,cx0935a-cx0312a,2024-09-04,,,CHIKV_MacB-x0935_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0312_A_304_CHIKV_MacB-x0300+A+401+1,WLFMTZKZYACXSW-UHFFFAOYSA-N,314.0,10000.0,3154.0,fbhmej,CN(C)C(=O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1257.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/WLFMTZKZYACXSW-UHFFFAOYSA-N/WLFMTZKZYACXSW-UHFFFAOYSA-N_fbhmej_to_hippo.pkl.gz,45047.0,21507.0,cx0935a,cx0312a,True,2024-09-04 12:57:00,2.0
,,,,,,,,,,,cx0585a-cx1091a,2024-09-04,No routes found for O=C1C[C@]2(Br)CCN(C(=O)c3cccc(F)c3)C[C@@H]2CCN1CCO.,NoSynthesisRoute,CHIKV_MacB-x0585_B_308_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1091_C_308_CHIKV_MacB-x0300+A+401+1,QAHGAEAVRARJEN-KBXCAEBGSA-N,148.0,,,,O=C1C[C@]2(Br)CCN(C(=O)c3cccc(F)c3)C[C@@H]2CCN1CCO,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,859.0,,,,cx0585a,cx1091a,False,2024-09-04 08:59:00,0.0
Nc1ccc(S(=O)(=O)F)cc1,Nc1cc2ccccc2c(N)n1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,,,,,,,,cx0289a-cx1440b,2024-09-04,ChemicalParserException: initMatchers() must be called before runReactants(),ValueError,CHIKV_MacB-x0289_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1440_A_306_CHIKV_MacB-x0300+A+401+1,JJNXHPKHZIRGNT-UHFFFAOYSA-N,259.0,,,vCWni2,Nc1ccc(S(=O)(=O)Nc2cc3ccccc3c(N)n2)cc1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1000.0,,,,cx0289a,cx1440b,False,2024-09-04 10:00:00,1.0
OB(O)c1ncn[nH]1,Cn1nccc1C(=O)NCc1csc(Br)n1,Sp2-sp2_Suzuki_coupling,,,,,,,,,CHIKVMac-DLS-JA001,2024-09-03,,,CHIKV_MacB-x0892_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0281_C_304_CHIKV_MacB-x0300+A+401+1,WRQXFZOITXUYML-UHFFFAOYSA-N,0.0,3.0,3.0,U4qd7z,Cn1nccc1C(=O)NCc1csc(-c2ncn[nH]2)n1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0281a_apo-desolv.pdb,1711.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/WRQXFZOITXUYML-UHFFFAOYSA-N/WRQXFZOITXUYML-UHFFFAOYSA-N_U4qd7z_to_hippo.pkl.gz,3.0,3.0,cx0892a,cx0281a,True,2024-09-03 17:11:00,1.0
,,,,,,,,,,,cx1316a-cx0316a,2024-09-04,No atoms found involved in reaction Buchwald-Hartwig_amidation_with_amide-like_nucleophile in mol O=c1ccccn1Cc1noc(Br)n1 and CNC(=O)c1ccc(O)cc1,SMARTSError,CHIKV_MacB-x1316_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0316_C_304_CHIKV_MacB-x0300+A+401+1,IBXQLIVBJJJVRV-UHFFFAOYSA-N,204.0,,,,CN(C(=O)c1ccc(O)cc1)c1nc(Cn2ccccc2=O)no1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,928.0,,,,cx1316a,cx0316a,False,2024-09-04 09:28:00,0.0
,,,,,,,,,,,cx0969f-cx0692a,2024-09-04,No routes found for O=C(Nc1ccccc1)c1c(CO)cc2c(c1O)OCC2.,NoSynthesisRoute,CHIKV_MacB-x0692_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0969_D_501_CHIKV_MacB-x0300+A+401+1,HZMWNEMTDOMFDH-UHFFFAOYSA-N,349.0,,,,O=C(Nc1ccccc1)c1c(CO)cc2c(c1O)OCC2,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1040.0,,,,cx0692a,cx0969f,False,2024-09-04 10:40:00,0.0
CN,CCOc1cccc2ncc(Cl)nc12,N-nucleophilic_aromatic_substitution,,,,,,,,,cx0839a-cx1417a,2024-09-04,,,CHIKV_MacB-x0839_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1417_A_304_CHIKV_MacB-x0300+A+401+1,FESSPJKVYVFJPA-UHFFFAOYSA-N,169.0,1098.0,0.0,x4Axvb,CCOc1cccc2ncc(NC)nc12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,916.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/FESSPJKVYVFJPA-UHFFFAOYSA-N/FESSPJKVYVFJPA-UHFFFAOYSA-N_x4Axvb_to_hippo.pkl.gz,1099.0,879.0,cx0839a,cx1417a,True,2024-09-04 09:16:00,1.0
,,,,,,,,,,,CHIKVMac-DLS-JA009,2024-09-03,No routes found for O=C(NCc1cccs1)S(=O)(=O)Nc1ccccn1.,NoSynthesisRoute,CHIKV_MacB-x0289_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0892_A_304_CHIKV_MacB-x0300+A+401+1,JMNYKECVGSHROL-UHFFFAOYSA-N,8.0,,,,O=C(NCc1cccs1)S(=O)(=O)Nc1ccccn1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0289a_apo-desolv.pdb,1712.0,,,,cx0289a,cx0892a,False,2024-09-03 17:12:00,0.0
,,,,,,,,,,,cx1298a-cx1305a,2024-09-03,No routes found for Cc1cnc2n(C)c(=O)n3c(c1-2)OCO3.,NoSynthesisRoute,CHIKV_MacB-x1298_B_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1305_A_304_CHIKV_MacB-x0300+A+401+1,OLSWFZKUMZLCMR-UHFFFAOYSA-N,67.0,,,,Cc1cnc2n(C)c(=O)n3c(c1-2)OCO3,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1759.0,,,,cx1298a,cx1305a,False,2024-09-03 17:59:00,0.0
,,,,,,,,,,,cx0935a-cx1402b,2024-09-04,No routes found for Oc1ccc(Nn2cccc3ccnc2-3)cc1.,NoSynthesisRoute,CHIKV_MacB-x1402_A_501_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0935_C_401_CHIKV_MacB-x0300+A+401+1,PAYFJUUAHSNYFV-UHFFFAOYSA-N,338.0,,,,Oc1ccc(Nn2cccc3ccnc2-3)cc1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1035.0,,,,cx1402b,cx0935a,False,2024-09-04 10:35:00,0.0
,,,,,,,,,,,cx1417a-cx0316a,2024-09-04,No routes found for CCOC(=O)c1c(CCc2nc(Cn3ccccc3=O)no2)n[nH]c1C.,NoSynthesisRoute,CHIKV_MacB-x1417_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0316_C_304_CHIKV_MacB-x0300+A+401+1,WPJNMRJPBHMZLH-UHFFFAOYSA-N,210.0,,,,CCOC(=O)c1c(CCc2nc(Cn3ccccc3=O)no2)n[nH]c1C,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,931.0,,,,cx1417a,cx0316a,False,2024-09-04 09:31:00,0.0
,,,,,,,,,,,cx0294a-cx1183a,2024-09-04,No routes found for FC(F)(F)Cc1ccc2[nH]c3c(c2c1)C#CC3.,NoSynthesisRoute,CHIKV_MacB-x0294_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1183_B_304_CHIKV_MacB-x0300+A+401+1,VWXBKNSUYFZSHF-UHFFFAOYSA-N,183.0,,,,FC(F)(F)Cc1ccc2[nH]c3c(c2c1)C#CC3,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,917.0,,,,cx0294a,cx1183a,False,2024-09-04 09:17:00,0.0
Cn1cc(C(=O)O)c2ccc(Cl)cc21,CN,Amidation,,,,,,,,,cx0270a-cx0894d,2024-09-04,,,CHIKV_MacB-x0894_B_309_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0270_A_304_CHIKV_MacB-x0300+A+401+1,GNFBAQJUTMHLTB-UHFFFAOYSA-N,247.0,2067.0,1725.0,cbDHUQ,CNC(=O)c1cn(C)c2cc(Cl)ccc12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1039.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/GNFBAQJUTMHLTB-UHFFFAOYSA-N/GNFBAQJUTMHLTB-UHFFFAOYSA-N_cbDHUQ_to_hippo.pkl.gz,2067.0,1554.0,cx0894d,cx0270a,True,2024-09-04 10:39:00,1.0
,,,,,,,,,,,cx0892a-cx1203a,2024-09-03,No routes found for Cc1c(N)nn2cccc(NCc3cccs3)c12.,NoSynthesisRoute,CHIKV_MacB-x0892_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1203_A_304_CHIKV_MacB-x0300+A+401+1,DIXNXVWQGJPPGN-UHFFFAOYSA-N,14.0,,,,Cc1c(N)nn2cccc(NCc3cccs3)c12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1732.0,,,,cx0892a,cx1203a,False,2024-09-03 17:32:00,0.0
,,,,,,,,,,,cx0477a-cx1402a,2024-09-04,No routes found for OCCc1ncc2cncccc1-2.,NoSynthesisRoute,CHIKV_MacB-x0477_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1402_A_401_CHIKV_MacB-x0300+A+401+1,GKRAARLHUMXMJO-UHFFFAOYSA-N,152.0,,,,OCCc1ncc2cncccc1-2,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,901.0,,,,cx0477a,cx1402a,False,2024-09-04 09:01:00,0.0
,,,,,,,,,,,cx0864a-cx0692a,2024-09-04,No routes found for COCC(=O)NN1COc2ccc(-c3ccn[nH]3)cc21.,NoSynthesisRoute,CHIKV_MacB-x0864_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0692_C_401_CHIKV_MacB-x0300+A+401+1,RTAHAIAUMVJTBK-UHFFFAOYSA-N,296.0,,,,COCC(=O)NN1COc2ccc(-c3ccn[nH]3)cc21,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1013.0,,,,cx0864a,cx0692a,False,2024-09-04 10:13:00,0.0
