smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
C=CCC[S@@](C)(=O)=NC(=O)C1(c2ccccc2Cl)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3599420496,<rdkit.Chem.rdchem.Mol object at 0x1754f2040>,horton_fegrow_prime_elab_Z3599420496
O=C(Nc1cnc(Br)nc1)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4333907715,<rdkit.Chem.rdchem.Mol object at 0x1754f2120>,horton_fegrow_prime_elab_Z4333907715
C[C@@H]1CNC[C@H]1NC(=O)C1(c2ccc(Cl)cc2Cl)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3134505663,<rdkit.Chem.rdchem.Mol object at 0x1754f2190>,horton_fegrow_prime_elab_Z3134505663
Cn1c(Br)cnc1NC(=O)C1(c2ccc(Cl)cc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4181705950,<rdkit.Chem.rdchem.Mol object at 0x1754f2200>,horton_fegrow_prime_elab_Z4181705950
CC1(C)CNC[C@H](NC(=O)C2(c3ccccc3)CCOCC2)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3385942713,<rdkit.Chem.rdchem.Mol object at 0x1754f2270>,horton_fegrow_prime_elab_Z3385942713
O=C(N[C@@H]1CCCC[C@@H]1O)C1(c2ccc(Br)cc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3712614525,<rdkit.Chem.rdchem.Mol object at 0x1754f22e0>,horton_fegrow_prime_elab_Z3712614525
CCn1cnc(NC(=O)C2(c3cccc(Br)c3)CCOCC2)c1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3008870435,<rdkit.Chem.rdchem.Mol object at 0x1754f2350>,horton_fegrow_prime_elab_Z3008870435
O=C(Nc1cc(Cl)ccc1O)C1(c2ccccc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1492294896,<rdkit.Chem.rdchem.Mol object at 0x1754f23c0>,horton_fegrow_prime_elab_Z1492294896
Cc1nc(NC(=O)C2(c3ccc(Br)cc3)CCOCC2)nn1C,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2229675130,<rdkit.Chem.rdchem.Mol object at 0x1754f2430>,horton_fegrow_prime_elab_Z2229675130
O=C(N[C@]12C[C@](CO)(C1)C2)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4040409961,<rdkit.Chem.rdchem.Mol object at 0x1754f24a0>,horton_fegrow_prime_elab_Z4040409961
C[C@@H](CC1CC1)NC(=O)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1533686820,<rdkit.Chem.rdchem.Mol object at 0x1754f2510>,horton_fegrow_prime_elab_Z1533686820
CCc1n[nH]c(NC(=O)C2(c3ccccc3)CCOCC2)c1C,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2500122162,<rdkit.Chem.rdchem.Mol object at 0x1754f25f0>,horton_fegrow_prime_elab_Z2500122162
O=C(NC1CCCCCC1)C1(c2ccc(Cl)cc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z816125754,<rdkit.Chem.rdchem.Mol object at 0x1754f2660>,horton_fegrow_prime_elab_Z816125754
O=C(Nc1cc2n(n1)CCC2)C1(c2ccccc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3055600068,<rdkit.Chem.rdchem.Mol object at 0x1754f26d0>,horton_fegrow_prime_elab_Z3055600068
Cc1cn(C)nc1NC(=O)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2648685263,<rdkit.Chem.rdchem.Mol object at 0x1754f2740>,horton_fegrow_prime_elab_Z2648685263
O=C(Nc1ccc(Br)cn1)C1(c2ccc(Cl)cc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z816552512,<rdkit.Chem.rdchem.Mol object at 0x1754f27b0>,horton_fegrow_prime_elab_Z816552512
C[C@@H](CC1CC1)NC(=O)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3206971508,<rdkit.Chem.rdchem.Mol object at 0x1754f2820>,horton_fegrow_prime_elab_Z3206971508
C[C@H]1C[C@H](NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1368481318,<rdkit.Chem.rdchem.Mol object at 0x1754f2890>,horton_fegrow_prime_elab_Z1368481318
O=C1CCCCN1NC(=O)C1(c2ccc(Br)cc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1030477284,<rdkit.Chem.rdchem.Mol object at 0x1754f2900>,horton_fegrow_prime_elab_Z1030477284
O=C(N[C@H]1C[C@@H](CS)C1)C1(c2ccc(Cl)cc2Cl)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z5600386214,<rdkit.Chem.rdchem.Mol object at 0x1754f2970>,horton_fegrow_prime_elab_Z5600386214
C[C@H](S)CCNC(=O)C1(c2ccc3c(c2)OCO3)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z5539448712,<rdkit.Chem.rdchem.Mol object at 0x1754f29e0>,horton_fegrow_prime_elab_Z5539448712
Cc1ncnc(NC(=O)C2(c3ccccc3)CCOCC2)c1C,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4646080163,<rdkit.Chem.rdchem.Mol object at 0x1754f2ac0>,horton_fegrow_prime_elab_Z4646080163
Cc1onc(NC(=O)C2(c3cccc(F)c3)CCOCC2)c1C,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2873191604,<rdkit.Chem.rdchem.Mol object at 0x1754f2b30>,horton_fegrow_prime_elab_Z2873191604
O=C(NNC(=O)C1(c2ccccc2)CCOCC1)[C@H]1CCCS1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2407985821,<rdkit.Chem.rdchem.Mol object at 0x1754f2ba0>,horton_fegrow_prime_elab_Z2407985821
