smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
C=CC(=O)N(Cc1cc(Cl)c2c(c1)OCCCO2)[C@@H]1CCCCNC1=O,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4408138101,<rdkit.Chem.rdchem.Mol object at 0x175196200>,matteo_ferla_rocs_cov_Z4408138101
O=C(CCl)N1CCC[C@@H]1c1ccc2c(c1)OCCO2,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z57042000,<rdkit.Chem.rdchem.Mol object at 0x175196350>,matteo_ferla_rocs_cov_Z57042000
C=CC(=O)N1CCC[C@H]1c1cccc2c1OCCO2,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z1938145906,<rdkit.Chem.rdchem.Mol object at 0x1751964a0>,matteo_ferla_rocs_cov_Z1938145906
C=CC(=O)N1CCC(C(=O)NCc2cccc3c2OCCO3)(c2ccccc2)CC1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z3672058033,<rdkit.Chem.rdchem.Mol object at 0x175196580>,matteo_ferla_rocs_cov_Z3672058033
N#CC(=Cc1sc(N2CCOCC2)nc1-c1ccccc1)C(=O)Nc1cccc2ccccc12,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z44325918,<rdkit.Chem.rdchem.Mol object at 0x175196660>,matteo_ferla_rocs_cov_Z44325918
N#CC(=Cc1sc(N2CCOCC2)nc1-c1ccccc1)C(=O)NC1CCCCC1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z44319268,<rdkit.Chem.rdchem.Mol object at 0x1751967b0>,matteo_ferla_rocs_cov_Z44319268
O=C(Nc1cccn(C2CC2)c1=O)[C@H]1Cc2ccccc2CN1C(=O)CCl,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z8604605053,<rdkit.Chem.rdchem.Mol object at 0x175196900>,matteo_ferla_rocs_cov_Z8604605053
N#CC(=Cc1cn(-c2ccccc2)nc1-c1cccs1)C(=O)NCCc1ccccc1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z44322584,<rdkit.Chem.rdchem.Mol object at 0x175196a50>,matteo_ferla_rocs_cov_Z44322584
C=CC(=O)NC1(CNC(=O)c2cccc3nnn(C)c23)CCCCCC1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4425282871,<rdkit.Chem.rdchem.Mol object at 0x175196ba0>,matteo_ferla_rocs_cov_Z4425282871
C=CC(=O)N1CCC(C(=O)NCc2cnc3n2CCC3)(c2ccccc2)CC1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z3366906784,<rdkit.Chem.rdchem.Mol object at 0x175196cf0>,matteo_ferla_rocs_cov_Z3366906784
C#Cc1ccn[nH]1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z1255404462,<rdkit.Chem.rdchem.Mol object at 0x175196dd0>,matteo_ferla_rocs_cov_Z1255404462
C#Cc1cnccn1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z1183458138,<rdkit.Chem.rdchem.Mol object at 0x175196eb0>,matteo_ferla_rocs_cov_Z1183458138
C=CC(=O)N[C@H]1CCCN(c2cc(C)nn2C)C1=O,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z2285377640,<rdkit.Chem.rdchem.Mol object at 0x175196f90>,matteo_ferla_rocs_cov_Z2285377640
