reactant1_structuralScore,reactant1_mw,reactant1_smi,reactant1_metadata,reactant2_structuralScore,reactant2_mw,reactant2_smi,reactant2_metadata,product_smi
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.21580368376803935,312.3759999999998,NCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-9663274032', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(CN)=O', 'link': 'https://mcule.com/MCULE-9663274032'}]",O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)NCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.21726182402248834,432.5269999999998,CCOc1ccccc1NC(=O)CN(c1nccs1)S(=O)(=O)c1ccc(N)cc1,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z56910335', 'smiles': 'CCOc1ccccc1NC(=O)CN(c1nccs1)S(=O)(=O)c1ccc(N)cc1', 'link': 'https://www.enaminestore.com/catalog/Z56910335'}]",CCOc1ccccc1NC(=O)CN(c1nccs1)S(=O)(=O)c1ccc(NC(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.21744012822111422,396.4789999999999,O=C(CSc1nnc[nH]1)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'molport', 'catalogId': 'MolPort-002-229-116', 'smiles': 'O=C(CSc1nnc[nH]1)Nc1ccc(cc1)S(=O)(=O)Nc1nccs1', 'link': 'https://www.molport.com/shop/molecule-link/MolPort-002-229-116'}]",O=C(CSc1nncn1C(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.21868586717528643,368.4839999999997,CC(C)CC(N)C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-1275670315', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(=O)C(N)CC(C)C', 'link': 'https://mcule.com/MCULE-1275670315'}]",CC(C)CC(NC(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12)C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.2191348768436114,372.4969999999998,NCCSCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-9726113633', 'smiles': 'S(=O)(=O)(C1C=CC(=CC=1)NC(CSCCN)=O)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-9726113633'}]",O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)NCCSCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.22268812763681042,368.4839999999997,CCCCC(N)C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-6242973238', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(C(CCCC)N)=O', 'link': 'https://mcule.com/MCULE-6242973238'}]",CCCCC(NC(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12)C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.22293962197618422,349.39299999999986,Nc1ccc(S(=O)(=O)Nc2nc3ccc(C(=O)O)cc3s2)cc1,"[{'catalogName': 'molport', 'catalogId': 'MolPort-005-909-477', 'smiles': 'Nc1ccc(cc1)S(=O)(=O)Nc1nc2ccc(cc2s1)C(O)=O', 'link': 'https://www.molport.com/shop/molecule-link/MolPort-005-909-477'}, {'catalogName': 'sigma', 'catalogId': '158565259', 'smiles': 'Nc1ccc(S(=O)(=O)Nc2nc3ccc(C(=O)O)cc3s2)cc1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=158565259&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1'}]",O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)Nc1ccc(S(=O)(=O)Nc2nc3ccc(C(=O)O)cc3s2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.22294154144190714,270.3389999999998,NNc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'enamine_made', 'catalogId': 'BBV-22262464', 'smiles': 'c1cc(ccc1NN)S(=O)(=O)Nc2nccs2'}, {'catalogName': 'emolecules', 'catalogId': '37156112', 'smiles': 'Cl.Cl.NNc1ccc(cc1)S(=O)(=O)Nc1nccs1', 'link': 'https://search.emolecules.com/search/#?querytype=emoleculesid&p=1&query=37156112'}, {'catalogName': 'enamine_bb', 'catalogId': 'EN300-99042', 'smiles': 'Cl.Cl.NNc1ccc(S(=O)(=O)Nc2nccs2)cc1', 'link': 'https://www.enaminestore.com/catalog/EN300-99042'}, {'catalogName': 'mcule', 'catalogId': 'MCULE-4930424484', 'smiles': 'S(=O)(=O)(C1C=CC(=CC=1)NN)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-4930424484'}, {'catalogName': 'mcule', 'catalogId': 'MCULE-7316485238', 'smiles': 'Cl.Cl.S(=O)(=O)(C1C=CC(=CC=1)NN)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-7316485238'}]",O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)NNc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.22294154144190714,270.3389999999998,NNc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'enamine_made', 'catalogId': 'BBV-22262464', 'smiles': 'c1cc(ccc1NN)S(=O)(=O)Nc2nccs2'}, {'catalogName': 'emolecules', 'catalogId': '37156112', 'smiles': 'Cl.Cl.NNc1ccc(cc1)S(=O)(=O)Nc1nccs1', 'link': 'https://search.emolecules.com/search/#?querytype=emoleculesid&p=1&query=37156112'}, {'catalogName': 'enamine_bb', 'catalogId': 'EN300-99042', 'smiles': 'Cl.Cl.NNc1ccc(S(=O)(=O)Nc2nccs2)cc1', 'link': 'https://www.enaminestore.com/catalog/EN300-99042'}, {'catalogName': 'mcule', 'catalogId': 'MCULE-4930424484', 'smiles': 'S(=O)(=O)(C1C=CC(=CC=1)NN)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-4930424484'}, {'catalogName': 'mcule', 'catalogId': 'MCULE-7316485238', 'smiles': 'Cl.Cl.S(=O)(=O)(C1C=CC(=CC=1)NN)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-7316485238'}]",NN(C(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12)c1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.23098536644732098,396.4789999999999,O=C(CSc1cnn[nH]1)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'molport', 'catalogId': 'MolPort-044-809-304', 'smiles': 'O=C(CSc1cnn[nH]1)Nc1ccc(cc1)S(=O)(=O)Nc1nccs1', 'link': 'https://www.molport.com/shop/molecule-link/MolPort-044-809-304'}]",O=C(CSc1cnnn1C(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
