,crystal_name,RealCrystalName,smiles,new_smiles,alternate_name,site_name,pdb_entry
114,NCS1-x0715_0A,NCS1-x0715,OC(=O)C=1C=CSC1,,Z166605460,NCS1 loop Site10,
115,NCS1-x0715_0B,NCS1-x0715,OC(=O)C=1C=CSC1,,Z166605460,Trp103 Site4,
116,NCS1-x0715_1B,NCS1-x0715,OC(=O)C=1C=CSC1,,Z166605460,NCS1 loop Site10,
117,NCS1-x0729_0B,NCS1-x0729,OC1CS(=O)(=O)C1,,Z3241250482,Trp103 Site4,
118,NCS1-x0759_0B,NCS1-x0759,OCC1CCCN1,,Z1333717631,Upper Tyr52-Thr92 Site2,
119,NCS1-x0780_0A,NCS1-x0780,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)OCC6=C(OC(=O)O6)C,,FDA2,Tyr108 Site6,
120,NCS1-x0780_0B,NCS1-x0780,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=O)N5)C(=O)OCC6=C(OC(=O)O6)C,,FDA2,Tyr108 Site6,
121,NCS1-x0827_0A,NCS1-x0827,OC[C@H]1N(S(C)(=O)=O)[C@@H](C)CCC1,,POB0029,Trp103 Site4,
122,NCS1-x0827_0B,NCS1-x0827,OC[C@H]1N(S(C)(=O)=O)[C@@H](C)CCC1,,POB0029,Trp103 Site4,
123,NCS1-x0914_0B,NCS1-x0914,CC1(C(N)=O)CCCN1C(OC(C)(C)C)=O,,POB0063,Tyr52 Site5,
124,NCS1-x0916_0A,NCS1-x0916,O=S(C12N(C(C)=O)CCC1C2)(C3=CC=CC=C3)=O,,POB0101,Helix H2 Site1,
125,NCS1-x0916_0B,NCS1-x0916,O=S(C12N(C(C)=O)CCC1C2)(C3=CC=CC=C3)=O,,POB0101,Helix H2 Site1,
126,NCS1-x0929_0A,NCS1-x0929,CS(N1CCC2C1(C3=CC=CC=C3OC)C2)(=O)=O,,POB0164,Upper Tyr52-Thr92 Site2,
127,NCS1-x0929_0B,NCS1-x0929,CS(N1CCC2C1(C3=CC=CC=C3OC)C2)(=O)=O,,POB0164,Upper Tyr52-Thr92 Site2,
128,NCS1-x0929_1A,NCS1-x0929,CS(N1CCC2C1(C3=CC=CC=C3OC)C2)(=O)=O,,POB0164,Helix H2 Site1,
